post_id,text
1,"Just tried the new coffee place downtown and it was very good, not amazing but very close"
2,"Non ci credo, domani si parte! Very excited, cannot wait... ok maybe I can"
3,"kind of tired today, might skip the gym, might not, we will see"
4,"Che bello questo posto! è davvero molto carino, non vedo l'ora di tornare"
5,"not sure about this weather, could start raining any minute now"
6,"very very very happy with my new desk setup, not gonna lie"
7,"L'esame è andato bene, penso. Non era per niente facile"
8,"I can do this, I could do that, but should I? kind of doubt it"
9,"perché tutto mi succede a me oggi... non ne posso più, sigh"
10,"Might grab pizza later, not the fancy kind though, just a quick slice"
11,"!!!"
12,"Caffè, cornetto e un libro: la mia idea di domenica perfetta. Non serve altro"
